max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	1700	300	1	10808000
6	1700	300	101	11122667
6	1700	300	201	11933333
6	1700	300	301	11738667
6	1700	300	401	11953333
6	1700	300	501	13060667
6	1700	300	601	12835333
6	1700	300	701	12448667
6	1700	300	801	12006000
6	1700	300	901	11117333
6	1700	300	1001	11039333
6	1700	350	1	10981333
6	1700	350	101	11121333
6	1700	350	201	12360667
6	1700	350	301	11764000
6	1700	350	401	11984000
6	1700	350	501	13110667
6	1700	350	601	12842000
6	1700	350	701	12455333
6	1700	350	801	12428667
6	1700	350	901	11540000
6	1700	350	1001	11462000
6	1700	400	1	11222667
6	1700	400	101	11624667
6	1700	400	201	12329333
6	1700	400	301	11802667
6	1700	400	401	12104667
6	1700	400	501	13113333
6	1700	400	601	12910667
6	1700	400	701	12455333
6	1700	400	801	12428667
6	1700	400	901	12232000
6	1700	400	1001	12184667
6	1700	450	1	11222667
6	1700	450	101	11627333
6	1700	450	201	12457333
6	1700	450	301	12338000
6	1700	450	401	12200667
6	1700	450	501	13209333
6	1700	450	601	12978000
6	1700	450	701	12522667
6	1700	450	801	12628667
6	1700	450	901	12618000
6	1700	450	1001	12576667
6	1700	500	1	11272000
6	1700	500	101	11532000
6	1700	500	201	12218667
6	1700	500	301	12046000
6	1700	500	401	12612667
6	1700	500	501	13163333
6	1700	500	601	12911333
6	1700	500	701	12456000
6	1700	500	801	12628667
6	1700	500	901	12618000
6	1700	500	1001	12576667
6	1750	300	1	10808000
6	1750	300	101	11122667
6	1750	300	201	11828667
6	1750	300	301	11738667
6	1750	300	401	11953333
6	1750	300	501	13060667
6	1750	300	601	12835333
6	1750	300	701	12448667
6	1750	300	801	12006000
6	1750	300	901	11117333
6	1750	300	1001	11039333
6	1750	350	1	10981333
6	1750	350	101	11121333
6	1750	350	201	12256000
6	1750	350	301	11764000
6	1750	350	401	11984000
6	1750	350	501	13110667
6	1750	350	601	12842000
6	1750	350	701	12455333
6	1750	350	801	12428667
6	1750	350	901	11540000
6	1750	350	1001	11462000
6	1750	400	1	11222667
6	1750	400	101	11624667
6	1750	400	201	12215333
6	1750	400	301	11802667
6	1750	400	401	12104667
6	1750	400	501	13113333
6	1750	400	601	12910667
6	1750	400	701	12455333
6	1750	400	801	12428667
6	1750	400	901	12232000
6	1750	400	1001	12184667
6	1750	450	1	11222667
6	1750	450	101	11627333
6	1750	450	201	12330000
6	1750	450	301	12338000
6	1750	450	401	12200667
6	1750	450	501	13209333
6	1750	450	601	12978000
6	1750	450	701	12522667
6	1750	450	801	12628667
6	1750	450	901	12618000
6	1750	450	1001	12576667
6	1750	500	1	11272000
6	1750	500	101	11532000
6	1750	500	201	12091333
6	1750	500	301	12046000
6	1750	500	401	12612667
6	1750	500	501	13163333
6	1750	500	601	12911333
6	1750	500	701	12456000
6	1750	500	801	12628667
6	1750	500	901	12618000
6	1750	500	1001	12576667
6	1800	300	1	10708000
6	1800	300	101	11024000
6	1800	300	201	11756000
6	1800	300	301	11738667
6	1800	300	401	11953333
6	1800	300	501	13060667
6	1800	300	601	12835333
6	1800	300	701	12448667
6	1800	300	801	12006000
6	1800	300	901	11117333
6	1800	300	1001	11039333
6	1800	350	1	10881333
6	1800	350	101	10958667
6	1800	350	201	12183333
6	1800	350	301	11764000
6	1800	350	401	11984000
6	1800	350	501	13110667
6	1800	350	601	12842000
6	1800	350	701	12455333
6	1800	350	801	12428667
6	1800	350	901	11540000
6	1800	350	1001	11462000
6	1800	400	1	11122667
6	1800	400	101	11514667
6	1800	400	201	12142667
6	1800	400	301	11802667
6	1800	400	401	12104667
6	1800	400	501	13113333
6	1800	400	601	12910667
6	1800	400	701	12455333
6	1800	400	801	12428667
6	1800	400	901	12232000
6	1800	400	1001	12184667
6	1800	450	1	11122667
6	1800	450	101	11505333
6	1800	450	201	12257333
6	1800	450	301	12338000
6	1800	450	401	12200667
6	1800	450	501	13209333
6	1800	450	601	12978000
6	1800	450	701	12522667
6	1800	450	801	12628667
6	1800	450	901	12618000
6	1800	450	1001	12576667
6	1800	500	1	11172000
6	1800	500	101	11686000
6	1800	500	201	12018667
6	1800	500	301	12046000
6	1800	500	401	12612667
6	1800	500	501	13163333
6	1800	500	601	12911333
6	1800	500	701	12456000
6	1800	500	801	12628667
6	1800	500	901	12618000
6	1800	500	1001	12576667
6	1850	300	1	10586000
6	1850	300	101	11024000
6	1850	300	201	11756000
6	1850	300	301	11738667
6	1850	300	401	11953333
6	1850	300	501	13060667
6	1850	300	601	12866000
6	1850	300	701	12479333
6	1850	300	801	12006000
6	1850	300	901	11117333
6	1850	300	1001	11039333
6	1850	350	1	10593333
6	1850	350	101	10958667
6	1850	350	201	12183333
6	1850	350	301	11764000
6	1850	350	401	11984000
6	1850	350	501	13110667
6	1850	350	601	12842000
6	1850	350	701	12455333
6	1850	350	801	12428667
6	1850	350	901	11540000
6	1850	350	1001	11462000
6	1850	400	1	10956667
6	1850	400	101	11514667
6	1850	400	201	12037333
6	1850	400	301	11802667
6	1850	400	401	12104667
6	1850	400	501	13113333
6	1850	400	601	12910667
6	1850	400	701	12455333
6	1850	400	801	12428667
6	1850	400	901	12232000
6	1850	400	1001	12184667
6	1850	450	1	10956667
6	1850	450	101	11505333
6	1850	450	201	12152000
6	1850	450	301	12338000
6	1850	450	401	12200667
6	1850	450	501	13209333
6	1850	450	601	12978000
6	1850	450	701	12522667
6	1850	450	801	12628667
6	1850	450	901	12618000
6	1850	450	1001	12576667
6	1850	500	1	11006000
6	1850	500	101	11686000
6	1850	500	201	11913333
6	1850	500	301	12046000
6	1850	500	401	12612667
6	1850	500	501	13163333
6	1850	500	601	12911333
6	1850	500	701	12456000
6	1850	500	801	12628667
6	1850	500	901	12618000
6	1850	500	1001	12576667
6	1900	300	1	10494000
6	1900	300	101	10884000
6	1900	300	201	11756000
6	1900	300	301	11677333
6	1900	300	401	11892000
6	1900	300	501	13060667
6	1900	300	601	12866000
6	1900	300	701	12479333
6	1900	300	801	12006000
6	1900	300	901	11117333
6	1900	300	1001	11039333
6	1900	350	1	10501333
6	1900	350	101	10958667
